number,name,summary,status,blocker_type,missing_field,note,caveat,relevant_implemented
1,Coverage check,"What the store holds: document count, actor count, date range, breakdown by source type and sub-pillar.",IMPLEMENTED,none,,Counting and grouping only. No inference over content.,"Tells you nothing about the world. A well-covered cell means we have read a lot, not that a field is crowded.",
2,Adjacent actors,"A named list of actors adjacent to a candidate - same theme, same geography, related sub-pillar.",NOT IMPLEMENTED,deferred,,"Buildable, not yet built. Needs no new field; deferred by choice.","Adjacency is judged on tags, not on knowledge of the field. A starting point for a conversation, not a shortlist of the right people.",1;12
3,Network position,Actors bridging otherwise separate clusters - who connects the field.,NOT IMPLEMENTED,field,Code execution + author-count weighting,,"The graph maps what we have read, not the field, and it skews to authors. Centrality must not be quoted until author-count weighting is applied.",1;12
4,Policy-implementation gap,"A commitment on the public record - a limit value, an NDC, a COP pledge - with no actor delivering it.",NOT IMPLEMENTED,field,Commitment identification on LAB,"Highest-confidence candidate type: the demand side is stated, not inferred.","A commitment with no implementer in the store may still have implementers in the world. Public commitment removes the demand-side uncertainty, not the response-side one.",1;12
5,Scale mismatch,A documented need and a documented response that differ by orders of magnitude.,NOT IMPLEMENTED,field,Stated quantity field on LAB,The only candidate type that does not depend on absence.,"The two numbers usually come from different sources with different scopes. Report the mismatch, never the multiple.",1;12
6,Proven but unscaled,A solution that succeeded in one place and has not scaled.,NOT IMPLEMENTED,field,Solution maturity field on LAB,Cannot be inferred reliably from free text - an agent cannot consistently tell 'piloted successfully in Kenya' from 'under development'.,Success is self-reported. A pilot described as successful in its own write-up may not have been.,1;12
7,Actor mix,"A field with researchers but no implementers, or implementers but no funders.",NOT IMPLEMENTED,field,Actor type populated in LEAD,,"LEAD is filled largely by harvesting authors, and authors are overwhelmingly researchers. Every field will look research-heavy whether or not it is.",1;12
8,Venue shift,A topic that has moved from research into regulator consultations or industry material.,NOT IMPLEMENTED,field,Source type field plus 12+ months of collection,"The source type field exists in this build; the remaining blocker is elapsed collection time - the corpus was assembled, not accumulated.",Venue shift only works if you are reading all the venues. Without even coverage across source types this measures reading habits rather than the world.,1;12
9,Transferability,"A case study whose enabling conditions also appear elsewhere - worked in A, might work in B.",NOT IMPLEMENTED,field,Enabling conditions list per case study,Not one column - a structured list.,Most transfer failures happen because a condition nobody wrote down was doing the work. The only analysis here where being wrong costs money directly rather than costing attention.,1;12
10,Sub-pillar co-occurrence,Two well-covered sub-pillars that rarely appear together.,NOT IMPLEMENTED,deferred,,"Buildable, not yet built. Needs no new field; deferred by choice.",Most non-co-occurrences are simply unrelated things. Any two topics can be made to sound like a promising intersection after the fact.,1;12
11,"Problem rising, response static",Evidence about a problem growing year on year while actor count stays flat.,NOT IMPLEMENTED,time,12+ months of continuous collection,,"The corpus was assembled, not accumulated. An apparent rise may simply be recent reading. Treat any trend line as a description of collection activity.",1;12
12,Gap analysis,A documented problem with few actors working on it. Produces the six-section LION output.,IMPLEMENTED,none,,Lowest-trust candidate type in the catalogue. Implemented first only because it is the only one the current fields support.,The output most likely to be a coverage artefact and the one people find most convincing. Never present it without the coverage figure from #1 alongside it.,
13,"Well resourced, not working","A field with actors, funding and attention that is not producing results.",NOT IMPLEMENTED,data,Outcome data (does not exist anywhere),,"Reporting is systematically positive. A field can look like it is working while producing nothing, and the stores will never show the difference.",1;12
14,Fund flows,Direction and rate of change of funding into a theme.,NOT IMPLEMENTED,data,Transaction records + historical time series,"A budget conversation, not a build one. Historical deal data must be bought or accumulated over years.",Rate-of-change analysis on incomplete data mostly measures changes in disclosure practice. The failure mode that looks most like a finding.,1
15,Failure mapping,A record of what has been attempted and failed.,NOT IMPLEMENTED,field,Failure capture against LEAD actors,The only thing that distinguishes 'nobody tried' from 'someone tried and failed'. Every other analysis sees identical silence in both cases.,What gets recorded as failure is a fraction of what failed. Absence of a recorded failure is not evidence that nothing was tried.,1;12
16,Crowded field,"A theme with many actors, or many capital providers, already present.",NOT IMPLEMENTED,field,Actor type populated in LEAD,,LEAD is not a funder database. Funders rarely author documents. Reading 'no funders present' as 'no funders active' would be a serious error.,1;12
